Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
77554622900037;0022151C;OGEC SAINT JOSEPH LA MADELEINE;;22020102502;actif;formateur;4 Place Victor Hugo 02400 Château-Thierry;Amiens;Hauts-de-France;Non;;cfa_ec;1;1;25/01/2022;0022151C;0021869W;0021999M;0022151C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78386335000014;0596057N;OGEC LYCEE DAMPIERRE VALAREP;;31590770659;actif;formateur;85 Avenue de Denain 59300 Valenciennes;Lille;Hauts-de-France;Non;;cfa_ec;1;1;25/01/2022;0596057N;0592969G;0596057N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82466350400010;0596188F;OGEC DU GROUPE EPID-VAUBAN;;32590933959;actif;formateur;20 Rue de Lille 59140 Dunkerque;Lille;Hauts-de-France;Non;;cfa_ec;1;3;25/01/2022;0596188F;0596188F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77563016300019;0624102X;OGEC VINCENT DE PAUL;;31620012662;actif;formateur;32 Rue Baudimont 62000 Arras;Lille;Hauts-de-France;Non;;cfa_ec;1;2;25/01/2022;0624102X;0624102X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77564732400018;0690571W;ASSOCIATION SAINT-MARC D'EDUCATION CHRETIENNE;;82691370469;actif;formateur;10 Rue Sainte Hélène 69002 Lyon;Lyon;Auvergne-Rhône-Alpes;Non;cfa_ec;cfa_ec;2;1;25/01/2022;0690571W;0690571W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78095858300046;0610724F;ORPHELINAT AGRICOLE DE GIEL;EXPLOITATION AGRICOLE GIEL DON BOSCO;;actif;formateur;Les cours 61210 Giel-Courteilles;Normandie;Normandie;Non;cfa_ec;cfa_ec;1;;25/01/2022;0610724F;0610724F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77564410700010;0381678T;ASSOCIATION DE GESTION DU GROUPE ROBIN;;82690175569;actif;formateur;Impasse de l’Église 69560 Sainte-Colombe;Lyon;Auvergne-Rhône-Alpes;Non;;cfa_ec;3;;25/01/2022;0381678T;0381678T;0381738H;0382583B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41137587600017;0070100W;OGEC MARC SEGUIN;;82070056007;actif;responsable_formateur;1 Route de Californie 07100 Annonay;Grenoble;Auvergne-Rhône-Alpes;Non;;cfa_ec;1;2;25/01/2022;0070100W;0070100W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78086868300035;0501941N;OGEC GESTION NOTRE DAME;;;actif;formateur;43 Rue Sébline 50500 Carentan-les-Marais;Normandie;Normandie;Non;cfa_ec;cfa_ec;1;1;25/01/2022;0501941N;0500139E;0501941N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42490023100012;0610698C;OGEC ST THOMAS D'AQUIN;;;actif;formateur;1 Place Claudius Duperron 61100 Flers;Normandie;Normandie;Non;cfa_ec;cfa_ec;1;1;25/01/2022;0610698C;0610698C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
