Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
19710018300015;0710018J;LYCEE POLYVALENT JULIEN WITTMER;;;actif;formateur;13 Rue de Champagny 71120 Charolles;Dijon;Bourgogne-Franche-Comté;Non;;en_hors_murs;2;2;11/02/2022;0710018J;0710018J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19710026600018;0710026T;LYCEE POLYVALENT LEON BLUM;;;actif;formateur;62 Rue Lavoisier 71200 Le Creusot;Dijon;Bourgogne-Franche-Comté;Non;;en_hors_murs;1;2;11/02/2022;0710026T;0710026T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19440074300010;0440074S;LYCEE PROFESSIONNEL BROSSAUD BLANCHO - LYCEE DES METIERS;;;actif;formateur;10 Avenue Pierre de Coubertin 44600 Saint-Nazaire;Nantes;Pays de la Loire;Non;greta;greta;1;1;11/02/2022;0440074S;0440074S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19890031800017;0891200W;LYCEE GENERAL ET TECHNOLOGIQUE CRJANOT;;;actif;formateur;1 Place Lech Walesa 89100 Sens;Dijon;Bourgogne-Franche-Comté;Non;;en_hors_murs;2;1;11/02/2022;0891200W;0891200W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19440288900019;0440288Z;LYCEE GENERAL ET TECHNOLOGIQUE ALBERT CAMUS;;;actif;formateur;11 Rue Etienne Coutan 44100 Nantes;Nantes;Pays de la Loire;Non;greta;greta;;;11/02/2022;0440288Z;0440288Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19441656600017;0441656L;LYCEE PROFESSIONNEL PABLO NERUDA;;;actif;formateur;Rue Pablo Neruda 44340 Bouguenais;Nantes;Pays de la Loire;Non;greta;greta;;;11/02/2022;0441656L;0441656L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19782822100014;;LYCEE POLYVALENT PIERRE CORNEILLE;;;actif;formateur;4 Avenue Corneille 78170 La Celle-Saint-Cloud;Versailles;Île-de-France;Non;;en_hors_murs;1;1;25/01/2022;;0782822U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19781984000012;0781984H;LYCEE POLYVALENT VAUCANSON;;;actif;formateur;14 Rue Albert Thomas 78130 Les Mureaux;Versailles;Île-de-France;Non;;en_hors_murs;1;2;25/01/2022;0781984H;0781984H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19221595200016;;LYCEE PROFESSIONNEL LA FONTAINE DES EAUX - LYCEE DES METIERS DE LA GESTION ENERGETIQUE DES BATIMENTS;;;actif;formateur;48 Promenade de la Fontaine des Eaux 22100 Dinan;Rennes;Bretagne;Non;;en_hors_murs;1;1;25/01/2022;;0221595P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19750671000015;;LYCEE GENERAL & TECHNOLOGIQ EDGAR QUINET;;;actif;formateur;63 Rue des Martyrs 75009 Paris;Paris;Île-de-France;Non;;en_hors_murs;1;1;25/01/2022;;0750671X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
