Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à  jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4
19440005700015;0440005S;LYCEE POLYVALENT GUY MOQUET - ETIENNE LENOIR;;;actif;formateur;1 Rue de l'Europe 44110 Châteaubriant;Nantes;Pays de la Loire;Non;greta;greta;1;1;25/01/2022;0440005S;0440005S;;;
19530012400011;0530012A;LYCEE GENERAL ET TECHNOLOGIQUE REAUMUR;;;actif;responsable_formateur;39 Avenue Chanzy 53000 Laval;Nantes;Pays de la Loire;Non;greta;greta;1;1;25/01/2022;0530012A;0530012A;;;
19441552700010;0441552Y;LYCEE POLYVALENT LES BOURDONNIERES;;;actif;formateur;Rue de la Perrière 44200 Nantes;Nantes;Pays de la Loire;Non;greta;greta;1;1;25/01/2022;0441552Y;0441552Y;;;
19850027400016;0850027T;LYCEE POLYVALENT ROSA PARKS - LYCEE DES METIERS;;52850195685;actif;formateur;29 Boulevard gaston guitton 85000 La Roche-sur-Yon;Nantes;Pays de la Loire;Non;greta;greta;2;1;25/01/2022;0850027T;0850027T;0851313R;0851570V;
19720033000011;0720033V;LYCEE POLYVALENT GABRIEL TOUCHARD-WASHINGTON;;52720123172;actif;formateur;8 place George Washington 72000 Le Mans;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0720033V;0720033V;0721422E;;
19490003100015;0490003M;LYCEE POLYVALENT CHEVROLLIER;;52490280149;actif;formateur;2 Rue Adrien Recouvreur 49000 Angers;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0490003M;0490003M;0491937P;;
19850028200035;0851313R;LYCEE PROFESSIONNEL EDOUARD BRANLY;GRETA-CFA DE VENDEE;52850232185;actif;responsable_formateur;5 Boulevard édouard branly 85000 La Roche-sur-Yon;Nantes;Pays de la Loire;Non;greta;greta;6;1;17/12/2021;0851313R;0851313R;;;
19840005300023;0840866K;LYCEE POLYVALENT PHILIPPE DE GIRARD;GRETA-CFA VAUCLUSE;9384P000684;actif;responsable_formateur;138 Avenue de Tarascon 84000 Avignon;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;greta;12;4;17/12/2021;0840866K;0840866K;0841022E;0841241T;0841242U
19490003100023;0491937P;LYCEE POLYVALENT CHEVROLLIER;GRETA-CFA 49;52490280149;actif;responsable_formateur;3 Rue de Létanduère 49000 Angers;Nantes;Pays de la Loire;Non;greta;greta;9;1;17/12/2021;0491937P;0491937P;0492335X;;
19440029700025;0441975H;LYCEE GENERAL ET TECHNOLOGIQUE LIVET;GRETA LOIRE-ATLANTIQUE;52440417944;actif;responsable_formateur;16 Rue Dufour 44000 Nantes;Nantes;Pays de la Loire;Non;greta;greta;18;2;17/12/2021;0441975H;0440001M;0440033X;0440036A;0440063E
19840700900010;0840700E;LYCEE PROFESSIONNEL REVOUL FERDINAND;;;actif;formateur;Route de Nyons 84600 Valréas;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;greta;1;1;17/12/2021;0840700E;0840700E;0841144M;;
19840005300015;0840005Z;LYCEE POLYVALENT PHILIPPE DE GIRARD;;9384P000684;actif;formateur;138 Avenue de Tarascon 84000 Avignon;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;greta;1;1;17/12/2021;0840005Z;0840005Z;0840866K;;
19720033000029;0721422E;LYCEE POLYVALENT GABRIEL TOUCHARD-WASHINGTON;GRETA-CFA DU MAINE;52720123172;actif;responsable_formateur;28 rue des Grandes Courbes 72100 Le Mans;Nantes;Pays de la Loire;Non;greta;greta;13;2;17/12/2021;0721422E;0530487S;0721422E;0721639R;
