Siret,UAI validée,Raison sociale,Enseigne,numero_declaration_activite,etat_administratif,Nature,Adresse,Académie,Région,Qualiopi,Réseaux,Réseau à jour,Nombre de relations,Nombre de lieux de formation,Date d'import,UAI probable,UAI potentielle 1,UAI potentielle 2,UAI potentielle 3,UAI potentielle 4,UAI potentielle 5,UAI potentielle 6,UAI potentielle 7,UAI potentielle 8,UAI potentielle 9,UAI potentielle 10,UAI potentielle 11,UAI potentielle 12,UAI potentielle 13,UAI potentielle 14,UAI potentielle 15,UAI potentielle 16,UAI potentielle 17,UAI potentielle 18,UAI potentielle 19,UAI potentielle 20,UAI potentielle 21,UAI potentielle 22,UAI potentielle 23,UAI potentielle 24,UAI potentielle 25,UAI potentielle 26,UAI potentielle 27,UAI potentielle 28,UAI potentielle 29,UAI potentielle 30,UAI potentielle 31,UAI potentielle 32,UAI potentielle 33,UAI potentielle 34,UAI potentielle 35,UAI potentielle 36,UAI potentielle 37,UAI potentielle 38,UAI potentielle 39,UAI potentielle 40,UAI potentielle 41,UAI potentielle 42,UAI potentielle 43,UAI potentielle 44,UAI potentielle 45,UAI potentielle 46,UAI potentielle 47,UAI potentielle 48,UAI potentielle 49,UAI potentielle 50,UAI potentielle 51,UAI potentielle 52,UAI potentielle 53,UAI potentielle 54,UAI potentielle 55,UAI potentielle 56,UAI potentielle 57,UAI potentielle 58,UAI potentielle 59,UAI potentielle 60
30426539000019,0411024R,OGEC-FONDATION DON BOSCO,,93060262006,actif,responsable_formateur,40 Place Don Bosco 06000 Nice,Nice,Provence-Alpes-Côte d'Azur,Oui,,cfa ec,7,2,2021-12-17,0062093T,0060773H,0061462G,0062093T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31566803800047,0411024R,ORG DE GEST DE L'ENSEIGNEMT CATHO DU LYCEE LEVAVASSEUR ET DE SON ETABLISSEMENT SECONDAIRE CFA-ECR,,04973090397,actif,responsable_formateur,6 Rue Boyer de la Giroday 97490 Saint-Denis,La Réunion,La Réunion,Oui,,cfa ec,1,1,2021-12-17,9741570N,9741570N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77585750100032,0411024R,ORGANISM GESTION ENSEIGNEMENT CATHOLIQUE,,91300182830,actif,responsable_formateur,4 Impasse des Recollets 30200 Bagnols-sur-Cèze,Montpellier,Occitanie,Oui,,cfa ec,,3,2021-12-17,0301760A,0300106C,0301760A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82081528000012,0411024R,ORGANISME DE GESTION DE L ENSEIGNEMENT CATHOLIQUE OZANAM,,53351010635,actif,responsable_formateur,99 Rue de la Chalotais 35510 Cesson-Sévigné,Rennes,Bretagne,Oui,,cfa ec,1,1,2021-12-17,0352937C,0352922L,0352937C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77591322100013,0411024R,ORGANISME DE GESTION DE L'ENSEIGNMENT CATHOLIQUE EMMANUEL D'ALZON,,91300263030,actif,responsable_formateur,28 Rue Seguier 30000 Nîmes,Montpellier,Occitanie,Oui,agri|cfa ec,cfa ec,,6,2021-12-17,0301649E,0301356L,0301649E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89081240700017,0411024R,SCFA - SAINTE CLAIRE FORMATION APPRENTISSAGE,,84420348542,actif,responsable_formateur,8 Rue des Parottes 42450 Sury-le-Comtal,Lyon,Auvergne-Rhône-Alpes,Oui,,cfa ec,,2,2022-01-25,0420985T,0420985T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30975404200039,0411024R,STEPHENSON FORMATION,STEPHENSON FORMATION,11755360175,actif,responsable_formateur,Rue Stephenson 75018 Paris,Paris,Île-de-France,Oui,,cfa ec,1,2,2021-12-17,0752206R,0752206R,0942451D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42220211900018,0411024R,VINCENT DE PAUL RESEAUX ET FORMATION,,11753137175,actif,responsable_formateur,67 Rue de Sèvres 75006 Paris,Paris,Île-de-France,Oui,,cfa ec,5,10,2021-12-17,0756091N,0022198D,0400916D,0756091N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78072679000022,,AEP ASSOC POUR L ENFANCE ET ADOLESCENCE,LEP SAINT JOSEPH,,actif,formateur,145 Avenue de la République 14800 Deauville,Normandie,Normandie,Non,,cfa ec,1,1,2022-01-25,0141192V,0141192V,0141812U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78093824700019,,AEP INSTITUTION ST FRANCOIS DE SALES,,,actif,formateur,100 Rue Labillardiere 61000 Alençon,Normandie,Normandie,Non,,cfa ec,1,1,2022-01-25,0610692W,0610692W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30807744500010,,AEP LEP NOTRE DAME,,82070012607,actif,formateur,26 Avenue du Vanel 07000 Privas,Grenoble,Auvergne-Rhône-Alpes,Non,,cfa ec,1,2,2022-01-25,,0070114L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30048380700024,,AEP LYCEE ST PAUL,,32620299262,actif,formateur,38 Route de la Bassée 62300 Lens,Lille,Hauts-de-France,Non,,cfa ec,1,1,2022-02-11,,0622114L,0624520B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78633652900015,0720834R,ASS DES AMIS DE SAINTE CROIX,LYCEE NOTRE DAME DE SAINTE CROIX,,actif,inconnue,25 Rue Antoine de Saint-Exupéry 72000 Le Mans,Nantes,Pays de la Loire,Non,,cfa ec,,,2021-12-17,0720834R,0720834R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77571885100014,,ASS ECOLE SECOND SAINT CHARLES,,,actif,formateur,2 Rue G Anthonioz de Gaulle 91200 Athis-Mons,Versailles,Île-de-France,Non,,cfa ec,1,2,2022-01-25,0910808J,0910808J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78087491300020,,ASS GESTION ETS CATHOL THOMAS-HELYE,LYCEE TECHNIQUE LA BUCAILLE,,actif,formateur,37 Rue Emile Zola (Cherbourg-Octeville) 50100 Cherbourg-en-Cotentin,Normandie,Normandie,Non,,cfa ec,1,1,2022-01-25,0501299R,0501299R,0501788X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35195017500049,,ASS GESTION INSTIT NOTRE-DAME-SAINT JEAN,LYCEE PRIVE NOTRE DAME-ST JEAN,,actif,inconnue,1 Chemin de l’Esperance 25000 Besançon,Besançon,Bourgogne-Franche-Comté,Non,,cfa ec,2,,2021-12-17,0251028G,0251028G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78063239400034,,ASS LES AMIS DE MONTALEMBERT,COLLEGE PRIVE,,fermé,formateur,3 Route d’Amiens 80600 Doullens,Amiens,Hauts-de-France,Non,,cfa ec,2,2,2022-05-17,,0801213J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77656218300017,,ASSOC ECOLES CHRETIENNES CLUSE,,,actif,inconnue,11 Rue Marcellin Berthelot 74300 Cluses,Grenoble,Auvergne-Rhône-Alpes,Non,,cfa ec,2,,2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77656218300025,,ASSOC ECOLES CHRETIENNES CLUSE,COLLEGE PRIVE ST JEAN BOSCO,,actif,inconnue,11 Rue Marcellin Berthelot 74300 Cluses,Grenoble,Auvergne-Rhône-Alpes,Non,,cfa ec,2,,2022-01-25,0740143D,0740112V,0740143D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77656218300033,,ASSOC ECOLES CHRETIENNES CLUSE,LYCEE POLYVALENT LES CORDELIERS - ST JEAN BOSCO,,actif,formateur,11 Rue Marcellin Berthelot 74300 Cluses,Grenoble,Auvergne-Rhône-Alpes,Non,,cfa ec,3,2,2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78288388800029,,ASSOC JEANNE PERRIMOND,,93130682213,actif,formateur,244 Chemin du Roucas Blanc 13007 Marseille,Aix-Marseille,Provence-Alpes-Côte d'Azur,Non,,cfa ec,1,1,2021-12-17,0131684K,0131684K,0133339J,0342338G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78187598400044,,ASSOC ST JOSEPH DE TIVOLI,,,actif,formateur,40 Avenue d’Eysines 33000 Bordeaux,Bordeaux,Nouvelle-Aquitaine,Non,,cfa ec,1,1,2021-12-17,0331502D,0331502D,0332488A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77581770300033,,ASSOCIATION  SCOLAIRE BEAUSEJOUR DE NARBONNE,LYCEE POLYVALENT BEAUSEJOUR,91110105911,actif,formateur,2 Rue Girard 11100 Narbonne,Montpellier,Occitanie,Non,,cfa ec,1,1,2022-02-11,,0110670U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53365084200016,,ASSOCIATION COOPERATIVE SCOLAIRE LYCEE PRIVE ENSEIGNEMENT GENERAL TECHNOLOGIQUE HB DE SAUSSURE,,,actif,formateur,125 Route du Lycée 74920 Combloux,Grenoble,Auvergne-Rhône-Alpes,Non,,cfa ec,1,1,2022-01-25,0741672R,0741672R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78397219300016,,ASSOCIATION DE GESTION DE L'INSTITUTION SAINT-PIERRE CALAIS,,,actif,formateur,26 Rue du Four à Chaux 62100 Calais,Lille,Hauts-de-France,Non,,cfa ec,1,4,2022-01-25,0624497B,0622110G,0624497B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79307326300014,,ASSOCIATION DE GESTION DU LYCEE DEPOORTER D'HAZEBROUCK,,31590891159,actif,formateur,9 Rue Depoorter 59190 Hazebrouck,Lille,Hauts-de-France,Non,,cfa ec,1,2,2022-01-25,0596902G,0596902G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82404587600011,,ASSOCIATION DES PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE DU LYCEE DE LA SALLE A ALES,,,actif,inconnue,17 Place Henri Barbusse 30100 Alès,Montpellier,Occitanie,Non,,cfa ec,,,2021-12-17,0301690Z,0301690Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77988345300010,0693371P,ASSOCIATION DON BOSCO LYON,,82691356569,actif,responsable_formateur,12 Montée Saint Laurent 69005 Lyon,Lyon,Auvergne-Rhône-Alpes,Oui,,cfa ec,1,2,2021-12-17,0693371P,0691659D,0693371P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78428074500026,,ASSOCIATION ISEP-EDOUARD BRANLY,,11756234275,actif,inconnue,28 Rue Notre-Dame des Champs 75006 Paris,Paris,Île-de-France,Oui,,cfa ec,1,,2022-01-25,,0753559L,0754811X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78070423500016,,ASSOCIATION L OASIS,,,actif,formateur,18 Rue de l’Oratoire 14000 Caen,Normandie,Normandie,Non,,cfa ec,1,1,2022-01-25,0141186N,0141186N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78060963200010,,ASSOCIATION LA PROVIDENCE,,,actif,formateur,146 Boulevard Saint - Quentin 80090 Amiens,Amiens,Hauts-de-France,Non,,cfa ec,3,2,2022-01-25,0802150C,0801742J,0801946F,0802150C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78513892600015,,ASSOCIATION NOTRE DAME DE VERNEUIL,,,actif,formateur,106 Grande Rue 78480 Verneuil-sur-Seine,Versailles,Île-de-France,Non,,cfa ec,2,1,2022-03-21,,0781537X,0783344L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78513892600023,,ASSOCIATION NOTRE DAME DE VERNEUIL,LYCEE GENERAL TECHNOL PRIVE NOTRE DAME,,actif,formateur,106 Grande Rue 78480 Verneuil-sur-Seine,Versailles,Île-de-France,Non,,cfa ec,3,1,2022-01-25,,0783344L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41907866200014,0910831J,ASSOCIATION RESPONSABLE DE L'ENSEMBLE SCOLAIRE LA SALLE IGNY,,,actif,formateur,10 Avenue de la Division Leclerc 91430 Igny,Versailles,Île-de-France,Non,agri,cfa ec,1,2,2022-03-21,,0910831J,0912342B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77982511600022,,ASSOCIATION SAINT IRENEE DES CHARTREUX,LYCEE PRIVE GEN ET TECHNOL,,actif,formateur,58 Rue Pierre Dupont 69001 Lyon,Lyon,Auvergne-Rhône-Alpes,Non,,cfa ec,2,1,2022-01-25,,0690564N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43383119500014,,ASSOCIATION SAINT JOSEPH,,31620267162,actif,formateur,Rue Druet 62116 Bucquoy,Lille,Hauts-de-France,Non,agri,cfa ec,2,2,2021-12-17,0623278B,0596917Y,0623278B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77694419100019,,ASSOCIATION SAINT JOSEPH,,73310473831,actif,inconnue,85 Rue de Limayrac 31500 Toulouse,Toulouse,Occitanie,Oui,,cfa ec,1,,2022-01-25,,0312738H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77694419100043,,ASSOCIATION SAINT JOSEPH,LYCEE PROFESSIONNEL,73310473831,actif,formateur,85 Rue de Limayrac 31500 Toulouse,Toulouse,Occitanie,Oui,,cfa ec,2,2,2021-12-17,0312065B,0312065B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32001710600040,,ASSOCIATION SAINT JOSEPH PIERRE ROUGE,,,actif,formateur,Avenue Agropolis 34980 Montferrier-sur-Lez,Montpellier,Occitanie,Non,,cfa ec,1,2,2022-01-25,,0341521U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78071371500099,,ASSOCIATION SAINTE ANGELE,,,actif,inconnue,4 Rue d’Authie 14000 Caen,Normandie,Normandie,Non,,cfa ec,1,,2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78071371500107,,ASSOCIATION SAINTE ANGELE,,25140086114,actif,formateur,30 Rue de la Miséricorde 14000 Caen,Normandie,Normandie,Non,,cfa ec,2,2,2022-01-25,0142388V,0142388V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32949147600019,0492062A,ASSOCIATION SAINTE ANNE,,52490026849,actif,responsable_formateur,23 Rue Édouard Guinel 49130 Les Ponts-de-Cé,Nantes,Pays de la Loire,Oui,,cfa ec,,1,2021-12-17,0492062A,0492062A,0492303M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77564732400018,0690571W,ASSOCIATION SAINT-MARC D'EDUCATION CHRETIENNE,,82691370469,actif,formateur,10 Rue Sainte Hélène 69002 Lyon,Lyon,Auvergne-Rhône-Alpes,Non,,cfa ec,2,2,2022-01-25,0690571W,0690571W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77564732400075,0690571W,ASSOCIATION SAINT-MARC D'EDUCATION CHRETIENNE,LYCEE PROFESS PRIVE ST MARC,,actif,formateur,4 Rue Sainte Hélène 69002 Lyon,Lyon,Auvergne-Rhône-Alpes,Non,,cfa ec,2,2,2021-12-17,0690571W,0690571W,0690641X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77988334700014,,ASSOCIATION SCOLAIRE LA FAVORITE,,,actif,formateur,62 Rue de la Favorite 69005 Lyon,Lyon,Auvergne-Rhône-Alpes,Non,,cfa ec,4,2,2022-01-25,0690520R,0690520R,0692937T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77988334700022,0690520R,ASSOCIATION SCOLAIRE LA FAVORITE,LYCEE POLYVALENT LA FAVORITE,,actif,inconnue,62 Rue de la Favorite 69005 Lyon,Lyon,Auvergne-Rhône-Alpes,Non,,cfa ec,3,,2021-12-17,0690520R,0690520R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77988334700055,,ASSOCIATION SCOLAIRE LA FAVORITE,LYCEE PROFESSIONNEL,,actif,formateur,107 Rue Commandant Charcot 69110 Sainte-Foy-lès-Lyon,Lyon,Auvergne-Rhône-Alpes,Non,,cfa ec,4,1,2022-01-25,,0690697H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77988334700089,,ASSOCIATION SCOLAIRE LA FAVORITE,,,actif,formateur,30 Rue Orsel 69600 Oullins,Lyon,Auvergne-Rhône-Alpes,Non,,cfa ec,4,1,2022-01-25,0690653K,0690653K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30554383700010,,ASSOCIATION SCOLAIRE SAINT JEAN LA CROIX,,,actif,formateur,25 Rue Antoine Lécuyer 02100 Saint-Quentin,Amiens,Hauts-de-France,Non,,cfa ec,1,3,2022-01-25,0022165T,0021873A,0022165T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51943234800018,,ASSOCIATION SPORTIVE DU LYCEE SAINT LAURENT LA PAIX NOTRE DAME,,,actif,formateur,43 Rue Alfred Brebion 77400 Lagny-sur-Marne,Créteil,Île-de-France,Non,,cfa ec,1,1,2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81081873200010,,ASSOCIATION SPORTIVE DU LYCEE TECHNOLOGIQUE ET PROFESSIONNEL JEAN ROSE,,,actif,formateur,20 Rue de Chaage 77100 Meaux,Créteil,Île-de-France,Non,,cfa ec,1,1,2022-03-21,,0754458N,0772153X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77567240500021,,ASSOCIATION ST LOUIS POISSY,,22600082960,actif,formateur,1 Rue Sabatier 60350 Pierrefonds,Amiens,Hauts-de-France,Non,,cfa ec,1,1,2021-12-17,0601194X,0601194X,0602116Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34022934300017,,ASSOCIATION TECHNIQUE DE LA SALLE,,,actif,responsable_formateur,2 Rue Jean Levasseur 59800 Lille,Lille,Hauts-de-France,Non,,cfa ec,1,1,2022-01-25,,0593117T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47901899600013,,CAMPUS LA SALLE SAINT-CHRISTOPHE,,73320036632,actif,formateur,DOM BELLIARD 32140 MASSEUBE,Toulouse,Occitanie,Non,,cfa ec,1,1,2022-01-25,0320737C,0320633P,0320737C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87773957300013,,CENTRE DE FORMATION ST JOSEPH-LA SALLE LORIENT,CENTRE DE FORMATION ST JOSEPH-LA SALLE LORIENT,53560956656,actif,formateur,42 Rue de Kerguestenen 56100 Lorient,Rennes,Bretagne,Non,,cfa ec,1,2,2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77957916800047,,CENTRE SCOLAIRE JEANNE D ARC AYENCINS,LYCEE PRIVE JEANNE D ARC,,actif,formateur,2 Rue Raymond Poincaré 38550 Le Péage-de-Roussillon,Grenoble,Auvergne-Rhône-Alpes,Non,,cfa ec,3,1,2022-01-25,0381670J,0381670J,0381733C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32303763000015,,DE GESTION DU PENSIONNAT LA SALLE PASSY BUZENVAL,,,actif,formateur,50 Avenue Otis Mygatt 92500 Rueil-Malmaison,Versailles,Île-de-France,Non,,cfa ec,3,1,2022-03-21,,0920928J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32303763000031,,DE GESTION DU PENSIONNAT LA SALLE PASSY BUZENVAL,LYCEE ENS PROF PRIVE PASSY BUZENVAL,,actif,formateur,50 Avenue Otis Mygatt 92500 Rueil-Malmaison,Versailles,Île-de-France,Non,,cfa ec,2,1,2022-01-25,,0921932A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77988344600014,0690194L,ECAM LASALLE,,84691887369,actif,inconnue,40 Montée Saint Barthélémy 69005 Lyon,Lyon,Auvergne-Rhône-Alpes,Oui,,cfa ec,1,,2021-12-17,0690194L,0690194L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77567111800047,0752842G,FENELON SAINTE-MARIE-LA PLAINE MONCEAU,COLLEGE PRIVE MARIE FENELON AUGUSTIN,11756233675,actif,responsable,47 Rue de Naples 75008 Paris,Paris,Île-de-France,Oui,,cfa ec,1,1,2021-12-17,0754037F,0752842G,0753873C,0754037F,0754458N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78288383900022,,FONDATION DON BOSCO MARSEILLE,LYCEE TECHNOLOGIQUE PRIVE DON BOSCO,,actif,inconnue,78 Rue Stanislas Torrents 13006 Marseille,Aix-Marseille,Provence-Alpes-Côte d'Azur,Non,,cfa ec,2,,2022-01-25,0134073G,0133396W,0134073G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77738800000039,,GROUPE SCOLAIRE,LYCEE GEN TECHNOL PRIVE BOSSUET,,actif,formateur,4 Rue de la Bienfaisance 22300 Lannion,Rennes,Bretagne,Non,,cfa ec,1,1,2022-01-25,,0220102S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77760581700033,,GROUPE SCOLAIRE DE PONT L'ABBE,LYCEE GEN TECHNOL PRIVE ST GABRIEL,,actif,formateur,6 Rue Jean Lautrédou 29120 Pont-l'Abbé,Rennes,Bretagne,Non,,cfa ec,2,1,2022-01-25,,0290168A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77756365100010,,GROUPE SCOLAIRE SAINT FRANCOIS,,,actif,formateur,1 Rue des Récollets 29260 Lesneven,Rennes,Bretagne,Non,,cfa ec,1,1,2022-01-25,0292328Y,0292328Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44059747400012,,GROUPE SCOLAIRE SAINT JULIEN BRIOUDE,,,actif,formateur,7 Rue du Vallat 43100 Brioude,Clermont-Ferrand,Auvergne-Rhône-Alpes,Non,,cfa ec,1,2,2022-01-25,0430053Z,0430053Z,0430898T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39945558300019,,GROUPE SCOLAIRE STE GENEVIEVE ST JOSEPH,COLLEGE PRIVE ST JOSEPH,,actif,inconnue,1 Rue Sarrus 12000 Rodez,Toulouse,Occitanie,Non,,cfa ec,,,2021-12-17,0121514F,0121430P,0121514F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78050719000012,0600071B,INSTITUT POLYTECHNIQUE UNILASALLE,,22600012460,actif,responsable_formateur,19 Rue Pierre Waguet 60000 Beauvais,Amiens,Hauts-de-France,Oui,,cfa ec,,3,2021-12-17,0600071B,0600071B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82404810200019,0071462B,INSTITUT SUPERIEUR SAINT DENIS,,84070103707,actif,inconnue,1 Chemin de la Muette 07100 Annonay,Grenoble,Auvergne-Rhône-Alpes,Non,,cfa ec,,,2021-12-17,0071462B,0071462B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77562426500077,,INSTITUTION DE LA SALLE LILLE,,31590886859,actif,formateur,2 Rue Jean Levasseur 59800 Lille,Lille,Hauts-de-France,Non,,cfa ec,1,3,2022-01-25,0597127B,0593117T,0597127B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78586494300036,,INSTITUTION JEANNE D'ARC,LEP PRIVE JEANNE D'ARC,,actif,inconnue,2bis Boulevard Toussaint Lucas 95130 Franconville,Versailles,Île-de-France,Non,,cfa ec,2,,2021-12-17,0950812S,0754458N,0950812S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77995455100015,0570279U,LEP PRIVE LA PROVIDENCE,,41570138457,actif,responsable_formateur,1 Rue des Frères Mesguins 57260 Dieuze,Nancy-Metz,Grand Est,Oui,,cfa ec,,2,2021-12-17,0570279U,0570279U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78334248800013,0541364P,LEP PRIVE MARIE IMMACULEE,,44540389154,actif,responsable_formateur,33 Avenue du Général Leclerc 54000 Nancy,Nancy-Metz,Grand Est,Oui,,cfa ec,,1,2021-12-17,0541364P,0541364P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
