Siret,UAI validée,Raison sociale,Enseigne,numero_declaration_activite,etat_administratif,Nature,Adresse,Académie,Région,Qualiopi,Réseaux,Réseau à jour,Nombre de relations,Nombre de lieux de formation,Date d'import,UAI probable,UAI potentielle 1,UAI potentielle 2,UAI potentielle 3,UAI potentielle 4,UAI potentielle 5,UAI potentielle 6,UAI potentielle 7,UAI potentielle 8,UAI potentielle 9,UAI potentielle 10,UAI potentielle 11,UAI potentielle 12,UAI potentielle 13,UAI potentielle 14,UAI potentielle 15,UAI potentielle 16,UAI potentielle 17,UAI potentielle 18,UAI potentielle 19,UAI potentielle 20,UAI potentielle 21,UAI potentielle 22,UAI potentielle 23,UAI potentielle 24,UAI potentielle 25,UAI potentielle 26,UAI potentielle 27,UAI potentielle 28,UAI potentielle 29,UAI potentielle 30,UAI potentielle 31,UAI potentielle 32,UAI potentielle 33,UAI potentielle 34,UAI potentielle 35,UAI potentielle 36,UAI potentielle 37,UAI potentielle 38,UAI potentielle 39,UAI potentielle 40,UAI potentielle 41,UAI potentielle 42,UAI potentielle 43,UAI potentielle 44,UAI potentielle 45,UAI potentielle 46,UAI potentielle 47,UAI potentielle 48,UAI potentielle 49,UAI potentielle 50,UAI potentielle 51,UAI potentielle 52,UAI potentielle 53,UAI potentielle 54,UAI potentielle 55,UAI potentielle 56,UAI potentielle 57,UAI potentielle 58,UAI potentielle 59,UAI potentielle 60
81460944200011,0411024R,ASSOCIATION REGIONALE D'EDUCATION PERMANENTE DU MORBIHAN,,53560907156,actif,responsable_formateur,3 Allee des Fougeres 56610 Arradon,Rennes,Bretagne,Oui,cfa ec,cfa ec,1,9,2021-12-17,0561802E,0352715L,0561802E,0561918F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78000231700011,0411024R,ASSOCIATION SCOLAIRE DE LA SALLE,ASSOCIATION SCOLAIRE DE LA SALLE,41570284057,actif,responsable_formateur,2 Rue Saint-Maximin 57070 Metz,Nancy-Metz,Grand Est,Oui,,cfa ec,1,2,2021-12-17,0570311D,0570311D,0573270V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78334256100017,0411024R,ASSOGEC CHARLES DE FOUCAULD,,41540129554,actif,responsable_formateur,1 Rue Jeannot 54000 Nancy,Nancy-Metz,Grand Est,Oui,,cfa ec,1,2,2021-12-17,0542408Z,0541998D,0542408Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43326420700021,0411024R,BEAU FRENE FORMATION,,72640201464,actif,responsable_formateur,1 Avenue du Château d’Este 64140 Billère,Bordeaux,Nouvelle-Aquitaine,Oui,,cfa ec,,4,2021-12-17,0642147L,0642147L,6402014L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44447202100013,0411024R,CEN FORMAT APPRENT ENSEIGN CATHO VENDEE,,52850219785,actif,responsable,L’Aubepine 85000 La Roche-sur-Yon,Nantes,Pays de la Loire,Oui,,cfa ec,15,,2021-12-17,0851537J,0440344K,0851537J,0851690A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88387764900011,0411024R,CENTRE DE FORMATION D'APPRENTIS DE L'ENSEIGNEMENT CATHOLIQUE DE MAINE ET LOIRE,,52490367049,actif,responsable,5 Rue du Haut Pressoir 49000 Angers,Nantes,Pays de la Loire,Oui,,cfa ec,7,,2021-12-17,0492489P,0351884H,0492489P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34929189800014,0411024R,CENTRE DE FORMATION PERMANENTE ST PIERRE,,11910110191,actif,responsable_formateur,70 Rue de Montgeron 91800 Brunoy,Versailles,Île-de-France,Oui,,cfa ec,,1,2021-12-17,0912435C,0912435C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34182077700033,0411024R,CENTRE REGIONAL DE FORMATION MULTIPROFESSIONNEL,,11751172675,actif,responsable_formateur,2 Rue Lacaze 75014 Paris,Paris,Île-de-France,Oui,cfa ec,cfa ec,60,46,2021-12-17,0754458N,0573804A,0754239A,0754458N,0754724C,0755203Y,0755237K,0782058N,0782093B,0783351U,0783606W,0922455U,0922653J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41154197200013,0411024R,CFA JEANNE D'ARC,,28760629576,actif,responsable_formateur,22 Rue Général de Gaulle 76310 Sainte-Adresse,Normandie,Normandie,Oui,cfa ec,cfa ec,1,5,2021-12-17,0763153P,0761735Y,0763153P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89816601200010,0411024R,CFA-FC METIERS DE NOS TERRITOIRES-PAYS DE LA LOIRE,,52490378649,actif,responsable,2 Chemin des Grandes Maisons 49130 Les Ponts-de-Cé,Nantes,Pays de la Loire,Oui,,cfa ec,21,,2021-12-17,0492504F,0492504F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48398606300012,0411024R,ENS NOTRE DAME SAINT JOSEPH,,41880023288,actif,responsable_formateur,58 Rue des Soupirs 88000 Épinal,Nancy-Metz,Grand Est,Oui,,cfa ec,1,1,2021-12-17,0880101G,0880101G,0881530K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77996251300015,0411024R,ES ANTOINE GAPP,,44570414057,actif,responsable_formateur,2 Avenue du Général Passaga 57600 Forbach,Nancy-Metz,Grand Est,Oui,,cfa ec,,10,2021-12-17,0572340J,0572340J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
