Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;
13001278400018;0811267M;CHAMBRE DE COMMERCE ET D INDUSTRIE DU TARN;;73810093881;actif;formateur;1 Avenue Général Hoche 81000 Albi;Toulouse;Occitanie;Non;;cci;1;1;25/01/2022;;0342318K;
13002172800196;0501931C;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE OUEST NORMANDIE;FIM - CENTRE DE FORMATION DES APPRENTIS;25500110350;actif;formateur;68 Rue Jean Monnet 50400 Granville;Normandie;Normandie;Oui;cci;cci;6;1;25/01/2022;0501931C;0501614H;
53921684600011;0391091Z;ECOLE DE MANAGEMENT COMMERCIAL DU JURA;;43390093239;actif;formateur;33 Place de la Comedie 39000 Lons-le-Saunier;Besançon;Bourgogne-Franche-Comté;Non;;cci;1;1;25/01/2022;0391091Z;0391091Z;
13002172800071;0501565E;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE OUEST NORMANDIE;FIM - CENTRE DE FORMATION DES APPRENTIS;25500110350;actif;formateur;Rue des Vindits 50130 Cherbourg-en-Cotentin;Normandie;Normandie;Oui;cci;cci;6;1;25/01/2022;0501565E;0501565E;
82394575300015;0210099U;ESC DIJON-BOURGOGNE;BURGUNDY SCHOOL OF BUSINESS;27210368521;actif;formateur;29 Rue Sambin 21000 Dijon;Dijon;Bourgogne-Franche-Comté;Non;;cci;1;1;25/01/2022;0210099U;0210099U;
18230801500136;0230412Y;CHAMBRE COMMERCE ET INDUSTRIE DE GUERET;CENTRE DE LA FORMATION DE LA CCI;7423P000223;actif;responsable_formateur;8 Avenue d'Auvergne 23000 Guéret;Limoges;Nouvelle-Aquitaine;Oui;;cci;1;;25/01/2022;0230412Y;0230412Y;
13002172800014;0501614H;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE OUEST NORMANDIE;;25500110350;actif;responsable_formateur;86 Rue de l'Exode 50000 Saint-Lô;Normandie;Normandie;Oui;cci;cci;8;1;25/01/2022;0501614H;0501565E;
13002271800642;0624504J;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION HAUTS-DE-FRANCE;STARTEVO;32590928359;actif;formateur;Rue Maurice Clabaut 62500 Leulinghem;Lille;Hauts-de-France;Oui;cci;cci;15;2;03/01/2022;0624504J;0624504J;
13002271800600;0623801V;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION HAUTS-DE-FRANCE;STARTEVO;32590928359;actif;formateur;Avenue de Bruxelles ZI du Brockus 62500 Saint-Omer;Lille;Hauts-de-France;Oui;;cci;14;1;03/01/2022;0623801V;0623801V;
89079142900164;0121440A;PURPLE CAMPUS;;76341086134;actif;formateur;5 Rue de Bruxelles 12000 Rodez;Toulouse;Occitanie;Oui;;cci;16;1;03/01/2022;0121440A;0121440A;
