Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
19440062800013;0440062D;LYCEE GENERAL ET TECHNOLOGIQUE JEAN PERRIN - LYCEE DES METIERS DES BATIMENTS INTELLIGENTS;;;actif;inconnue;20 Rue du Château de Rezé 44400 Rezé;Nantes;Pays de la Loire;Non;;greta;;;2022-01-25;0440062D;0440062D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20003480900018;0442752C;LYCEE POLYVALENT AIME CESAIRE;;;actif;formateur;1 Esplanade d’Alatri 44190 Clisson;Nantes;Pays de la Loire;Non;;greta;1;1;2022-01-25;0442752C;0442752C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19441992500020;0441992B;LYCEE GEN ET TECHNOLOGIQUE PAYS DE RETZ;;;actif;inconnue;1 Rue Georges Charpak 44210 Pornic;Nantes;Pays de la Loire;Non;;greta;;;2022-01-25;0441992B;0441992B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19440056000018;0440056X;LYCEE PROFESSIONNEL ALBERT CHASSAGNE;;;actif;formateur;5 Rue Alexis Maneyrol 44560 Paimbœuf;Nantes;Pays de la Loire;Non;;greta;1;1;2022-01-25;0440056X;0440056X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19440030500018;0440030U;LYCEE POLYVALENT GASPARD MONGE - LA CHAUVINIERE;;;actif;formateur;2 Rue de la Fantaisie 44300 Nantes;Nantes;Pays de la Loire;Non;;greta;1;1;2022-01-25;0440030U;0440030U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19440035400016;0440035Z;LYCEE PROFESSIONNEL LEONARD DE VINCI;;;actif;formateur;31 Rue de la Bottière 44300 Nantes;Nantes;Pays de la Loire;Non;;greta;1;1;2022-01-25;0440035Z;0440035Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19440005700015;0440005S;LYCEE POLYVALENT GUY MOQUET - ETIENNE LENOIR;;;actif;formateur;1 Rue de l'Europe 44110 Châteaubriant;Nantes;Pays de la Loire;Non;;greta;1;1;2022-01-25;0440005S;0440005S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19530012400011;0530012A;LYCEE GENERAL ET TECHNOLOGIQUE REAUMUR;;;actif;responsable_formateur;39 Avenue Chanzy 53000 Laval;Nantes;Pays de la Loire;Non;;greta;1;1;2022-01-25;0530012A;0530012A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19441552700010;0441552Y;LYCEE POLYVALENT LES BOURDONNIERES;;;actif;formateur;Rue de la Perrière 44200 Nantes;Nantes;Pays de la Loire;Non;;greta;1;1;2022-01-25;0441552Y;0441552Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19850027400016;0850027T;LYCEE POLYVALENT ROSA PARKS - LYCEE DES METIERS;;52850195685;actif;formateur;29 Boulevard gaston guitton 85000 La Roche-sur-Yon;Nantes;Pays de la Loire;Non;;greta;2;1;2022-01-25;0850027T;0850027T;0851313R;0851570V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19720033000011;0720033V;LYCEE POLYVALENT GABRIEL TOUCHARD-WASHINGTON;;52720123172;actif;formateur;8 place George Washington 72000 Le Mans;Nantes;Pays de la Loire;Oui;;greta;1;1;2021-12-17;0720033V;0720033V;0721422E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19490003100015;0490003M;LYCEE POLYVALENT CHEVROLLIER;;52490280149;actif;formateur;2 Rue Adrien Recouvreur 49000 Angers;Nantes;Pays de la Loire;Oui;;greta;1;1;2021-12-17;0490003M;0490003M;0491937P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19490003100023;0491937P;LYCEE POLYVALENT CHEVROLLIER;GRETA-CFA 49;52490280149;actif;responsable_formateur;3 Rue de Létanduère 49000 Angers;Nantes;Pays de la Loire;Oui;greta;greta;7;1;2021-12-17;0491937P;0491937P;0492335X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19440029700025;0441975H;LYCEE GENERAL ET TECHNOLOGIQUE LIVET;GRETA LOIRE-ATLANTIQUE;52440417944;actif;responsable_formateur;16 Rue Dufour 44000 Nantes;Nantes;Pays de la Loire;Oui;greta;greta;17;1;2021-12-17;0441975H;0440001M;0440005S;0440029T;0440030U;0440033X;0440034Y;0440035Z;0440036A;0440056X;0440062D;0440063E;0440069L;0440074S;0440086E;0440288Z;0440315D;0440352U;0440537V;0440541Z;0441550W;0441552Y;0441656L;0441823T;0441975H;0441992B;0441993C;0442094M;0442095N;0442574J;0442752C;0442765S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19720033000029;0721422E;LYCEE POLYVALENT GABRIEL TOUCHARD-WASHINGTON;GRETA-CFA DU MAINE;52720123172;actif;responsable_formateur;28 rue des Grandes Courbes 72100 Le Mans;Nantes;Pays de la Loire;Oui;;greta;14;;2021-12-17;0721422E;0530487S;0721422E;0721639R;0840866K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19441823200014;0441823T;LYCEE PROFESSIONNEL HEINLEX - LYCEE DES METIERS;;;actif;formateur;1 Rue Albert Einstein 44600 Saint-Nazaire;Nantes;Pays de la Loire;Non;;greta;1;1;2021-12-17;0441823T;0441823T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19440034700010;0440034Y;LYCEE DES METIERS MICHELET;;;actif;formateur;41 Boulevard Michelet 44300 Nantes;Nantes;Pays de la Loire;Non;;greta;1;1;2021-12-17;0440034Y;0440034Y;0441975H;0442574J;0442752C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19440029700017;0440029T;LYCEE GENERAL ET TECHNOLOGIQUE LIVET;;52440417944;actif;formateur;16 Rue Dufour 44000 Nantes;Nantes;Pays de la Loire;Oui;;greta;1;1;2021-12-17;0440029T;0440029T;0441975H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19440001600011;0440001M;LYCEE POLYVALENT JOUBERT-EMILIEN MAILLARD;;;actif;inconnue;160 Rue du Pressoir Rouge 44150 Ancenis-Saint-Géréon;Nantes;Pays de la Loire;Non;;greta;;;2021-12-17;0440001M;0440001M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19851401000018;0851401L;LYCEE GEN TECHNO DE LATTRE DE TASSIGNY;;;actif;formateur;165 Rue hubert cailler 85000 La Roche-sur-Yon;Nantes;Pays de la Loire;Non;;greta;1;1;2021-12-17;0851401L;0851401L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19850068800017;0850068M;LYCEE POLYVALENT FRANCOIS RABELAIS;;;actif;inconnue;45 Rue rabelais 85200 Fontenay-le-Comte;Nantes;Pays de la Loire;Non;;greta;;;2021-12-17;0850068M;0850068M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19850033200020;0850033Z;LYCEE PROFESSIONNEL ERIC TABARLY;;;actif;formateur;3 Rue éric tabarly 85340 Les Sables-d'Olonne;Nantes;Pays de la Loire;Non;;greta;1;1;2021-12-17;0850033Z;0850033Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19850028200019;0850028U;LYCEE PROFESSIONNEL EDOUARD BRANLY;;52850232185;actif;formateur;5 Boulevard édouard branly 85000 La Roche-sur-Yon;Nantes;Pays de la Loire;Oui;;greta;1;1;2021-12-17;0850028U;0850028U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19850025800019;0850025R;LYCEE GEN TECHNOL PIERRE MENDES FRANCE;;;actif;inconnue;Boulevard arago 85000 La Roche-sur-Yon;Nantes;Pays de la Loire;Non;;greta;;;2021-12-17;0850025R;0850025R;0851313R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19721094100013;0721094Y;LYCEE POLYVALENT LE MANS SUD;;;actif;formateur;128 rue Henri Champion 72100 Le Mans;Nantes;Pays de la Loire;Non;;greta;1;1;2021-12-17;0721094Y;0721094Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19720048800017;0720048L;LYCEE POLYVALENT RAPHAEL ELIZE;;;actif;formateur;26 Rue Saint Denis 72300 Sablé-sur-Sarthe;Nantes;Pays de la Loire;Non;;greta;1;1;2021-12-17;0720048L;0720048L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19720034800013;0720034W;LYCEE PROFESSIONNEL FUNAY-HELENE BOUCHER-LYCEE DES METIERS;;;actif;formateur;157 rue Henri Champion 72100 Le Mans;Nantes;Pays de la Loire;Non;;greta;2;1;2021-12-17;0720034W;0720034W;0721639R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19720017300015;0720017C;LYCEE POLYVALENT ROBERT GARNIER-LYCEE DES METIERS DES SERVICES ET DE L'INDUSTRIE;;;actif;formateur;Avenue du Général de Gaulle 72400 La Ferté-Bernard;Nantes;Pays de la Loire;Non;;greta;1;1;2021-12-17;0720017C;0720017C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19720003300011;0720003M;LYCEE PROFESSIONNEL CLAUDE CHAPPE;;;actif;formateur;rue des Collèges 72230 Arnage;Nantes;Pays de la Loire;Non;;greta;1;1;2021-12-17;0720003M;0720003M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19530039700013;0530949U;LYCEE POLYVALENT RAOUL VADEPIED;;;actif;formateur;Boulevard Henri Rossignol 53600 Évron;Nantes;Pays de la Loire;Non;;greta;1;1;2021-12-17;0530949U;0530949U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19530079300013;0530079Y;LYCEE PROFESSIONNEL LEONARD DE VINCI;;;actif;formateur;129 Boulevard de l'Europe 53100 Mayenne;Nantes;Pays de la Loire;Non;;greta;1;1;2021-12-17;0530079Y;0530079Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
