MEF;DISPOSITIF_FORMATION;FORMATION_DIPLOME;DUREE_DISPOSITIF;ANNEE_DISPOSITIF;LIBELLE_COURT;LIBELLE_LONG;DATE_OUVERTURE;DATE_FERMETURE;STATUT_MEF;NB_OPTION_OBLIGATOIRE;NB_OPTION_FACULTATIF;RENFORCEMENT_LANGUE;DUREE_PROJET;DUREE_STAGE;HORAIRE;MEF_INSCRIPTION_SCOLARITE;MEF_STAT_11;MEF_STAT_9;DATE_INTERVENTION;NUMERO_COMPTE;GESTION_DIFFUSION;LIBELLE_EDITION;ID;CREATED_AT;UPDATED_AT;N_COMMENTAIRE
2412422722;241;50024227;2;2;2CAP2 24227;2CAP2 TAPISS.AMEUBLT GARNITURE DECOR;01/09/1992;31/08/2006;3;1;;N;;;O;O;23220024227;232200242;18/08/2004;BCNSCO6;02;2cap2 tapiss.ameublt garniture decor;554;;;
2412422821;241;50024228;2;1;1CAP2 24228;1CAP2 TAPISS.AMEUBLT COUTURE DECOR;01/09/1992;31/08/2005;3;1;;N;;;O;O;23210024228;232100242;18/08/2004;BCNSCO6;02;1cap2 tapiss.ameublt couture decor;555;;;
2412421421;241;50024214;2;1;1CAP2 24214;1CAP2 FOURRURE;01/09/1992;31/08/1998;3;0;1;N;0;0;O;O;23210024214;232100242;28/05/1998;BCNSCO6;02;1cap2 fourrure;556;;;
2412421422;241;50024214;2;2;2CAP2 24214;2CAP2 FOURRURE;01/09/1993;31/08/1999;3;0;1;N;0;0;O;O;23220024214;232200242;08/01/1999;BCNSCO6;02;2cap2 fourrure;557;;;
2412421521;241;50024215;2;1;1CAP2 24215;1CAP2 COUTURE FLOU;01/09/1993;31/08/1998;3;0;1;N;0;0;O;O;23210024215;232100242;28/05/1998;BCNSCO6;02;1cap2 couture flou;558;;;
2412421522;241;50024215;2;2;2CAP2 24215;2CAP2 COUTURE FLOU;01/09/1993;31/08/1999;3;0;1;N;0;0;O;O;23220024215;232200242;05/11/1998;BCNSCO6;02;2cap2 couture flou;559;;;
2412430721;241;50024307;2;1;1CAP2 24307;1CAP2 CORDONNIER BOTTIER;01/09/1992;31/08/1994;3;0;1;N;0;0;N;O;23210024307;232100243;27/01/1995;OPS$BCNDEP8;02;1cap2 cordonnier bottier;560;;;
2412430722;241;50024307;2;2;2CAP2 24307;2CAP2 CORDONNIER BOTTIER (SESS.RATTRAP.);01/09/1992;31/08/1996;3;0;1;N;0;0;N;O;23220024307;232200243;18/03/2003;BCNSCO6;02;2cap2 cordonnier bottier (sess.rattrap.);561;;;
2412430121;241;50024301;2;1;1CAP2 24301;1CAP2 OUVRIER IND.CUIRS & PEAUX BRUTS;01/09/1992;31/08/1993;3;0;0;N;0;0;N;O;23210024301;232100243;27/01/1995;OPS$BCNDEP8;02;1cap2 ouvrier ind.cuirs & peaux bruts;562;;;
2412430122;241;50024301;2;2;2CAP2 24301;2CAP2 OUVRIER IND.CUIRS & PEAUX BRUTS;01/09/1992;31/08/1993;3;0;0;N;0;0;N;O;23220024301;232200243;27/01/1995;OPS$BCNDEP8;02;2cap2 ouvrier ind.cuirs & peaux bruts;563;;;
2422430133;242;50024301;3;3;3CAP3 24301;3CAP3 OUVRIER IND.CUIRS & PEAUX BRUTS;01/09/1992;31/08/1993;3;0;0;N;0;0;N;O;23330024301;233300243;27/01/1995;OPS$BCNDEP8;02;3cap3 ouvrier ind.cuirs & peaux bruts;564;;;
2412430821;241;50024308;2;1;1CAP2 24308;1CAP2 FABRICATION CHAUSSURE;01/09/1992;31/08/1998;3;0;1;N;0;0;O;O;23210024308;232100243;28/05/1998;BCNSCO6;02;1cap2 fabrication chaussure;565;;;
2412430822;241;50024308;2;2;2CAP2 24308;2CAP2 FABRICATION CHAUSSURE;01/09/1992;31/08/1999;3;0;1;N;0;0;O;O;23220024308;232200243;08/01/1999;BCNSCO6;02;2cap2 fabrication chaussure;566;;;
2412430921;241;50024309;2;1;1CAP2 24309;1CAP2 MAROQUINERIE;01/09/1992;31/08/1998;3;0;1;N;0;0;O;O;23210024309;232100243;28/05/1998;BCNSCO6;02;1cap2 maroquinerie;567;;;
2412430922;241;50024309;2;2;2CAP2 24309;2CAP2 MAROQUINERIE;01/09/1992;31/08/1999;3;0;1;N;0;0;O;O;23220024309;232200243;05/11/1998;BCNSCO6;02;2cap2 maroquinerie;568;;;
3011100722;301;37011007;2;2;MSPEBI;CPGE MATH.SPE BIOLOGIE 2EME ANNEE;01/09/1992;31/08/1996;1;1;0;N;0;0;N;O;31121111007;311211110;03/04/1996;BCNSPN;02;Cpge math.spe biologie 2eme annee;569;;;
3011100821;301;37011008;2;1;MSUPTA;CPGE TECHNO & MATH.SUP TA  1ERE ANNEE;01/09/1992;31/08/1995;1;0;1;N;0;0;N;O;31111111008;311111110;05/04/1995;OPS$BCNSCO5;02;Cpge techno & math.sup ta  1ere annee;570;;;
3011100822;301;37011008;2;2;TAMSPE;CPGE TECHNO & MATH.SPE TA 2EME ANNEE;01/09/1992;31/08/1996;1;1;1;N;0;0;N;O;31121111008;311211110;03/04/1996;BCNSPN;02;Cpge techno & math.spe ta 2eme annee;571;;;
3011100921;301;37011009;2;1;MSUPTB;CPGE TECHNO & MATH.SUP TB  1ERE ANNEE;01/09/1992;31/08/1995;1;0;1;N;0;0;N;O;31111111009;311111110;05/04/1995;OPS$BCNSCO5;02;Cpge techno & math.sup tb  1ere annee;572;;;
