uai;siret;raison_sociale;enseigne;nature;departement;commune;adresse;prepa_apprentissage
0010070W;43937112100013;ORGANISME DE GESTION DE L ECOLE CATHOLIQUE ST PIERRE;OGEC;formateur;01;Bourg-en-Bresse;7 RUE VILLENEUVE 01000 BOURG-EN-BRESSE;
0010099C;77931002800013;OGEC SAINT-JOSEPH DE BOURG-EN-BRESSE;;formateur;01;Bourg-en-Bresse;3 B RUE DU LYCEE 01000 BOURG-EN-BRESSE;
0010878Z;77933350900031;OGEC GEX JEANNE D ARC;LYCEE GEN TECHNO PRIVE JEANNE D ARC;formateur;01;Gex;273 RUE DE GENEVE 01170 GEX;
0011058V;77937827200016;ASSOC FAMIL GEST DU L.E.A.P. ST SORLIN;;responsable_formateur;01;Saint-Sorlin-en-Bugey;10 PL DE LA HALLE 01150 SAINT-SORLIN-EN-BUGEY;
0011073L;77933737700021;MAISON FAMILIALE EDUCATION ORIENTATION;;responsable_formateur;01;Péronnas;LA VERNEE 01960 PERONNAS;
0011074M;77929544300013;ASSOCIATION MAISON FAMILIALE RURALE;;responsable_formateur;01;Bâgé-le-Châtel;325 CHE DE RONDE 01380 BAGE-LE-CHATEL;
0011170S;43918302100013;MAISON FAMILIALE DE LA DOMBES;IREO;inconnue;01;Montluel;LA SAULSAIE 01120 MONTLUEL;
0011171T;77936480100026;ASS MAIS FAMIL RURALE EDUCAT ORIENTATION;;responsable_formateur;01;Pont-de-Veyle;AV DES SPORTS 01290 PONT-DE-VEYLE;
0011268Y;77934908300013;ASS MAISON FAMIL APPRENTISSAGE;;responsable_formateur;01;Balan;RUE CENTRALE 01360 BALAN;
0011294B;38206764300017;ECOLE TECHNIQUE DU BOIS;;formateur;01;Plateau d'Hauteville;560 B RTE DU MARAIS 01110 PLATEAU D'HAUTEVILLE;
0011324J;30469122300131;FEDERATION REGIONALE DES MFR;CTRE FORMATION APPRENTIS 1324J;inconnue;01;Plateau d'Hauteville;RUE DU BACHET 01110 PLATEAU D'HAUTEVILLE;
0011444P;19010819100049;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE BOURG-EN-BRESSE;CFPPA DES SARDIERES;formateur;01;Bourg-en-Bresse;79 AV DE JASSERON 01000 BOURG-EN-BRESSE;
0011452Y;81199225400011;SPORTS ET METIERS 01;;responsable_formateur;01;Bellignat;27 RTE D'IERNORE 01100 BELLIGNAT;
0011454A;30540504502286;AFTRAL;AFTRAL;responsable_formateur;01;Bourg-en-Bresse;17 B AV ARSENE D ARSONVAL 01000 BOURG-EN-BRESSE;
0021496R;13002374000330;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION HAUTS-DE-FRANCE;CMA LAON;formateur;02;Laon;30 RUE D ENFER 02000 LAON;
0021739E;50260294900047;BTP CFA PICARDIE;;responsable_formateur;02;Laon;CHE D AULNOIS 02000 LAON;
0021831E;30272779700011;ASS MAISONS FAMILIALES;;responsable_formateur;02;Clairfontaine;HAM BEAUREGARD 02260 CLAIRFONTAINE;
0021907M;78015919000013;ASS MAISON FAMILIALE RURALE;;responsable_formateur;02;Ambleny;11 RUE DU PONT CHEMINET 02290 AMBLENY;
0021908N;33503646300024;ASS MAISONS FAMIL EDUC ORIENT;;responsable_formateur;02;La Capelle;12 B PL DE LA DEMI LUNE 02260 LA CAPELLE;
0022046N;19021522800049;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE VERVINS;CFPPA DE THIERACHE;responsable_formateur;02;Vervins;RUE PORTE DES CHAMPS 02140 FONTAINE-LES-VERVINS;
0022112K;13002374000322;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION HAUTS-DE-FRANCE;CMA LA CAPELLE;formateur;02;La Capelle;171 AV DU GENERAL DE GAULLE 02260 LA CAPELLE;
0022114M;13002374000314;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION HAUTS-DE-FRANCE;CMA CHATEAU-THIERRY;formateur;02;Château-Thierry;1 LES BRISEBECHES 02400 CHATEAU-THIERRY;
0022115N;30540504501510;AFTRAL;AFTRAL;responsable_formateur;02;Laon;4 RUE PIERRE BOURDAN 02000 LAON;
0022149A;78022773200010;OGEC SAINT VINCENT DE PAUL;;formateur;02;Soissons;13 AV DE REIMS 02200 SOISSONS;
0022150B;78017341500016;INSTITUTION ST CHARLES;OGEC;formateur;02;Chauny;1 RUE DU BROUAGE 02300 CHAUNY;
0022151C;77554622900037;OGEC SAINT JOSEPH LA MADELEINE;;formateur;02;Château-Thierry;4 PL VICTOR HUGO 02400 CHATEAU-THIERRY;
0022153E;19020014700014;LYCEE GENERAL ET TECHNOLOGIQUE GAY-LUSSAC;LGT;inconnue;02;Chauny;23 BD GAMBETTA 02300 CHAUNY;
0022155G;19020050100012;LYCEE GENERAL ET TECHNOLOGIQUE CONDORCET;;inconnue;02;Saint-Quentin;17 RUE HENRI HERTZ 02100 SAINT-QUENTIN;
0022165T;30554383700010;ASSOCIATION SCOLAIRE SAINT JEAN LA CROIX;OGEC;formateur;02;Saint-Quentin;25 RUE ANTOINE LECUYER 02100 SAINT-QUENTIN;
0022170Y;19020078200018;LYCEE PROFESSIONNEL JULIE DAUBIE;LP;inconnue;02;Laon;3 PL ROBERT AUMONT 02000 LAON;
0022187S;78016449700031;ENSEMBLE SAINT ANTOINE SAINTE SOPHIE;OGEC;formateur;02;Bohain-en-Vermandois;22 RUE CURIE 02110 BOHAIN-EN-VERMANDOIS;
0022197C;80863414100069;PROMOTRANS FORMATION PROFESSIONNELLE CONTINUE;PROMOTRANS FPC.;responsable_formateur;02;Saint-Quentin;RUE MARCEL PAUL 02100 SAINT-QUENTIN;
0022203J;78019574900012;OGEC INSTITUTION LA PROVIDENCE;;formateur;02;Laon;2 RUE CLERJOT 02000 LAON;
0030026M;19030026900015;LYCEE POLYVALENT PAUL CONSTANS;LPO;formateur;03;Montluçon;RUE CHRISTOPHE THIVRIER 03100 MONTLUCON;
0030038A;19030038400012;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MONNET;LGT;formateur;03;Yzeure;39 PL JULES FERRY 03400 YZEURE;
0030105Y;77554827400080;OGEC SAINT JOSEPH;OGEC;formateur;03;Montluçon;150 BD DE COURTAIS 03100 MONTLUCON;
0030124U;41055004000019;INST.DE FORMAT.INTERPROFESSIONNEL ALLIER;;responsable_formateur;03;Avermes;11 RTE DE PARIS CHAMPFEU 03000 AVERMES;
0030126W;41884676200155;BTP CFA AUVERGNE RHONE ALPES;BTP CFA AURA;responsable_formateur;03;Bellerive-sur-Allier;12 RTE DE CHARMEIL 03700 BELLERIVE-SUR-ALLIER;
0030858S;19030858500016;CENTRE DE RESSOURCES D'EXPERTISE ET DE PERFORMANCE SPORTIVE;CREPS;responsable_formateur;03;Bellerive-sur-Allier;2 RTE DE CHARMEIL 03700 BELLERIVE-SUR-ALLIER;
0030905T;19030905400012;LYCEE PROFESSIONNEL GUSTAVE EIFFEL;LP;formateur;03;Gannat;RUE JULES BERTIN 03800 GANNAT;
0030907V;77905162200016;ECOL AGRIC PRIVE MAISON FAMILIALE RURALE;EC AGRIC PR;responsable_formateur;03;Saligny-sur-Roudon;03470 SALIGNY-SUR-ROUDON;
0030908W;77901965200014;MAISON FAMILIALE RURAL EDUCAT ORIENTAT;MFREO;responsable_formateur;03;Limoise;LE LIEU JAY 03320 LIMOISE;
0030924N;19030924500016;LYCEE PROFESSIONNEL VAL D ALLIER;LP;formateur;03;Varennes-sur-Allier;15 RUE DE BEAUPUY 03150 VARENNES-SUR-ALLIER;
0030925P;31694466900019;MAISON FAMILIALE RURALE;MFR;responsable_formateur;03;Escurolles;03110 ESCUROLLES;
0030955X;77904719000011;ECOLE AGRICOLE PRIVEE MAISON FAMI RURALE;EC AGRIC PR;responsable_formateur;03;Saint-Léopardin-d'Augy;03160 SAINT LEOPARDIN D'AUGY;
0030976V;19030038400038;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MONNET;GRETA NORD ALLIER;responsable_formateur;03;Yzeure;39 PL JULES FERRY 03400 YZEURE;
0030977W;19030026900023;LYCEE POLYVALENT PAUL CONSTANS;GRETA BOURBONNAIS COMBRAILLE;formateur;03;Montluçon;RUE CHRISTOPHE THIVRIER 03100 MONTLUCON;
0031041R;77904014600028;LYCEE PROFESSIONNEL PRIVE ANNA RODIER;OGEC ANNA RODIER;formateur;03;Moulins;10 RUE DE BOURGOGNE 03000 MOULINS;
0031043T;19030125900015;LYCEE POLYVALENT ALBERT EINSTEIN;ALBERT EINSTEIN;formateur;03;Montluçon;RUE ALBERT EINSTEIN 03100 MONTLUCON;
0031067U;19030094700057;ETABLISSEMENT PUBLIC LOCAL D ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DU BOURBONNAIS;CFPPA DE MOULINS;formateur;03;Neuvy;NEUVILLE 03000 NEUVY;
0031075C;19030051700025;LYCEE GENERAL ET TECHNOLOGIQUE ALBERT LONDRES;GRETA DU BASSIN DORE - ALLIER;formateur;03;Cusset;24 BD DU 8 MAI 1945 03300 CUSSET;
0031082K;19030959100013;LYCEE POLYVALENT VALERY LARBAUD;LPO;formateur;03;Cusset;8 BD GABRIEL PERONNET 03300 CUSSET;
0031133R;30540504500991;AFTRAL;AFTRAL;responsable_formateur;03;Toulon-sur-Allier;PRC LOGISTIQUE ALLIER 03400 TOULON-SUR-ALLIER;
0040533H;19040492100016;LYCEE POLYVALENT LES ISCLES;;formateur;04;Manosque;116 AV REGIS RYCKEBUSCH 04100 MANOSQUE;
0040549A;45391811200021;INSTITUT DE FORMATION DES METIERS DE LA PHARMACIE;IFMP;formateur;04;Sisteron;45 PL DU TIVOLI 04200 SISTERON;
0040577F;81206220600014;MAISON FAMILIALE RURALE D EDUCATION ET D ORIENTATION DE BLEONE DURANCE;;responsable_formateur;04;Château-Arnoux-Saint-Auban;1 RUE VICTORIN MAUREL 04160 CHATEAU-ARNOUX-SAINT-AUBAN;
0040579H;37951396300023;ALPES DEVELOPPEMENT FORMATION;ADF;responsable_formateur;04;Manosque;RUE DES ENTREPRENEURS 04100 MANOSQUE;
0040583M;30540504501882;AFTRAL;AFTRAL;formateur;04;Sainte-Tulle;ZA DES GRANDS JARDINS 04220 SAINTE-TULLE;
0050004C;19050004100016;LYCEE CLIMATIQUE HONORE ROMANE;LCL;formateur;05;Embrun;RTE DE CALEYERE 05200 EMBRUN;
0050005D;19050005800010;LYCEE PROFESSIONNEL ALPES ET DURANCE - LYCEE DES METIERS DE LA CONSTRUCTION BOIS ET DE L'ENERGIE;LP;formateur;05;Embrun;LA ROBEYERE 05200 EMBRUN;
0050007F;19050007400017;LYCEE POLYVALENT ARISTIDE BRIAND;LYP;formateur;05;Gap;20 AV CDT DUMONT 05000 GAP;
0050009H;19050009000013;LYCEE PROFESSIONEL SEVIGNE;LP;formateur;05;Gap;6 RUE JEAN MACE 05000 GAP;
0050606G;39197034000017;MFR LA MONTAGNE;;responsable_formateur;05;Ventavon;200 CHE DE LA MFR 05300 VENTAVON;
0050621Y;19050006600039;LYCEE GENERAL ET TECHNOLOGIQUE DOMINIQUE VILLARS;GRETA-CFA ALPES PROVENCE;responsable_formateur;05;Gap;PL DE VERDUN 05000 GAP;
0050629G;77566202600985;ASS OUVRIERE COMPAGNON DEVOIR TOUR FRANC;AOCDTF;formateur;05;L'Argentière-la-Bessée;403 AV DU GENERAL DE GAULLE 05120 L'ARGENTIERE-LA-BESSEE;
0050648C;38466091600014;ASS DEP FORM PERF AGRICUL;ADFPA;formateur;05;Gap;10 RUE DES SILOS 05000 GAP;
0050665W;49301662000020;ALTERNANCE AZUR;ALTERNANCE HAUTES-ALPES;responsable_formateur;05;Gap;48 BD GEORGES POMPIDOU 05000 GAP;
0050666X;18050001900039;CHAMB COMMERCE ET INDUSTRIE HAUTES ALPES;CCI HAUTES-ALPES FORMATION;responsable_formateur;05;Briançon;36 AV DE LA REPUBLIQUE 05100 BRIANCON;
0060001U;19060001500019;LYCEE POLYVALENT REGIONAL AUDIBERTI;;inconnue;06;Antibes;63 BD DU PRESIDENT WILSON 06160 ANTIBES;
0060014H;19060014800018;LYCEE GENERAL ET TECHNOLOGIQUE JULES FERRY;;formateur;06;Cannes;82 BD DE LA REPUBLIQUE 06400 CANNES;
0060022S;19060022100013;LYCEE PROFESSIONNEL LEON CHIRIS;;formateur;06;Grasse;51 CHE DES CAPUCINS 06130 GRASSE;
0060033D;19060033800015;LYCEE POLYVALENT HONORE D'ESTIENNE D'ORVES;;inconnue;06;Nice;13 AV ESTIENNE D ORVES 06000 NICE;
0060034E;19060034600059;LYCEE POLYVALENT HOTELIER TOURISME PAUL AUGIER - LYCEE DES METIERS DE L' HOTELLERIE ET DU TOURISME;CTRE FORMATION APPRENTIS HOTELLERIE;inconnue;06;Nice;163 BD RENE CASSIN 06200 NICE;
0060038J;19060038700012;LYCEE PROFESSIONNEL REGIONAL VAUBAN;;formateur;06;Nice;17 BD PIERRE SOLA 06300 NICE;
0060075Z;19060082500011;LYCEE PROFESSIONNEL REGIONAL EUCALYPTUS;;formateur;06;Nice;7 AV DES EUCALYPTUS 06200 NICE;
0060862E;18060001700339;CHAMB COMMERC INDUSTRIE NICE COTE D'AZUR;INST FORMATION PHARMACIE SANTE-IFPS;inconnue;06;Saint-Laurent-du-Var;120 BD DU POINT DU JOUR 06700 SAINT-LAURENT-DU-VAR;
0060916N;78285946600081;CFA DU BATIMENT PROVENCE ALPES COTE D'AZUR;CFA DU BATIMENT PACA;responsable_formateur;06;Antibes;80 RUE JEAN JOANNON 06600 ANTIBES;
0060920T;21060029200648;COMMUNE DE CANNES;FACULTE DES METIERS;responsable_formateur;06;Cannes;54 RUE DE CANNES 06150 CANNES;
0061478Z;19061478400014;LYCEE POLYVALENT LEONARD DE VINCI;LPO;formateur;06;Antibes;214 RUE JEAN JOANNON 06600 ANTIBES;
0061542U;38370431900037;ECOLE SUPERIEURE COMMERCE COMMUNICATION;ESCCOM;responsable_formateur;06;Nice;22 RUE EL NOUZAH 06000 NICE;
0061603K;19060793700074;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLE D'ANTIBES;CFA REGIONAL AGRICOLE D'ANTIBES;responsable_formateur;06;Antibes;88 CHE DES MAURES 06600 ANTIBES;
0061886T;88087198300107;ECOLE SUPERIEURE DE LA BANQUE;;formateur;06;Nice;23 BD FRANCOIS GROSSO 06000 NICE;
0061899G;26060021800077;CENTRE HOSPITALIER LA PALMOSA;ECOLE D'AIDES-SOIGNANTS LA PALMOSA;formateur;06;Menton;2 RUE ANTOINE PEGLION 06500 MENTON;
0061909T;20003019500123;METROPOLE NICE COTE D AZUR;REGIE AUTONOME CTRE FORMATION APPRENTIS NCA;responsable_formateur;06;Nice;5 RUE DE L HOTEL DE VILLE 06300 NICE;
0061992H;51524493700022;LIBERTE FORMATION;ISCAE;responsable_formateur;06;Nice;15 RUE DE LA LIBERTE 06000 NICE;
0062033C;26060020000034;CENTRE HOSPITALIER DE CANNES SIMONE VEIL;IFSI - IFAS;formateur;06;Cannes;15 AV DES BROUSSAILLES 06400 CANNES;
0062070T;38370431900086;ECOLE SUPERIEURE COMMERCE COMMUNICATION;ESCCOM;formateur;06;Cannes;5 RUE MIGNO 06400 CANNES;
0062098Y;77555200300342;FONDATION LENVAL NICE;;formateur;06;Nice;BD MAITRE MAURICE SLAMA 06200 NICE;
0062176H;18061919900011;GIP FORMATION ET INSERTION PROFESSIONNELLE DE L ACADEMIE DE NICE;;responsable_formateur;06;Nice;53 AV CAP DE CROIX 06100 NICE;
0062187V;81743442600026;ECOLE SUPERIEURE DE COMPTABILITE GESTION NICE;ESCG NICE;responsable_formateur;06;Nice;59 RUE DE LA BUFFA 06000 NICE;
0062204N;18060001700016;CHAMB COMMERC INDUSTRIE NICE COTE D'AZUR;CCINCA;responsable_formateur;06;Nice;20 BD CARABACEL 06000 NICE;
0062307A;30540504501874;AFTRAL;AFTRAL;formateur;06;Carros;1 ZONE INDUSTRIELLE 06510 CARROS;
0070064G;77623409800015;OGEC LYCEE POLYVALENT JULES FROMENT;;formateur;07;Aubenas;3 RUE ALBERT SEIBEL 07200 AUBENAS;
0070100W;41137587600017;OGEC MARC SEGUIN;;responsable_formateur;07;Annonay;1 RTE DE CALIFORNIE 07100 ANNONAY;
0070107D;40331964300025;OGEC MARIE RIVIER;;formateur;07;Bourg-Saint-Andéol;21 AV NOTRE DAME 07700 BOURG-SAINT-ANDEOL;
0070112J;77627544800012;OGEC DU LYCEE SAINT ANDRE;LP PRIVE SAINT ANDRE;responsable_formateur;07;Le Teil;18 RUE EMILE COMBE 07400 LE TEIL;
0070114L;30807744500010;AEP LEP NOTRE DAME;;formateur;07;Privas;26 AV DU VANEL 07000 PRIVAS;
0071126L;77622909800012;O.G.E.C. ST DENIS;;formateur;07;Annonay;1 CHE DE LA MUETTE 07100 ANNONAY;
0071231A;77622902300010;ASS AGRO-TECH;;formateur;07;Annonay;5 CHE SAINT DENIS 07100 ANNONAY;
0071392A;19070916200027;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES D'AUBENAS;CFPPA DU PRADEL;responsable_formateur;07;Mirabel;LE PRADEL 07170 MIRABEL;
0071455U;38881118400026;AGUF VIVARAIS FORMATION;;formateur;07;Tournon-sur-Rhône;111 AV DU HUIT MAI 1945 07300 TOURNON-SUR-RHONE;
0080842X;50923283100057;ALMEA FORMATIONS INTERPRO;ALMEA FORMATIONS INTERPRO;responsable_formateur;08;Charleville-Mézières;129 AV CHARLES DE GAULLE 08000 CHARLEVILLE-MEZIERES;
0080951R;30550939000020;MAISON FAMILIALE D'EDUCATION & ORIENTATI;;responsable_formateur;08;Lucquy;11 PL DE LA GARE 08300 LUCQUY;
0080972N;19080804800010;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE RETHEL;LEGTPA RETHEL;responsable;08;Rethel;RTE DE NOVION 08300 RETHEL;X
0081150G;78025339900015;OGEC DE CHARLEVILLE MEZIERES;;responsable_formateur;08;Charleville-Mézières;20 RUE MADAME DE SEVIGNE 08000 CHARLEVILLE-MEZIERES;
0081154L;30540504502047;AFTRAL;AFTRAL;formateur;08;Charleville-Mézières;12 B AV DE L INDUSTRIE 08000 CHARLEVILLE-MEZIERES;
0090002D;19090002700011;LYCEE GAL & TECHNOLOGIQUE GABRIEL FAURE;;formateur;09;Foix;5 RUE LIEUTENANT PAUL DELPECH 09000 FOIX;
0090003E;19090003500063;LYCEE PROFESSIONNEL JEAN DURROUX;;formateur;09;Ferrières-sur-Ariège;1 AV JEAN DURROUX 09000 FERRIERES-SUR-ARIEGE;
0090006H;19090006800015;LYCEE PROFESSION.JOSEPH MARIE JACQUARD;;formateur;09;Lavelanet;2 RUE JACQUARD 09300 LAVELANET;
0090013R;19090013400015;LYCEE POLYVALENT;;formateur;09;Mirepoix;RTE DE LIMOUX 09500 MIREPOIX;
0090018W;19090018300012;LYCEE GENERAL DU COUSERANS;;formateur;09;Saint-Girons;ESP MENDES FRANCE 09200 SAINT-GIRONS;
0090045A;77666271000032;OGEC LEP PRIVE LES JACOBINS;;formateur;09;Pamiers;2 B AV DE LA PAIX 09100 PAMIERS;
0090481Z;19090481300010;ETAB REGIONAL D'ENSEIGNEMENT ADAPTE;EREA;formateur;09;Pamiers;1 CHE DE PIC 09100 PAMIERS;
0100715Y;50923283100024;ALMEA FORMATIONS INTERPRO;ALMEA FORMATIONS INTERPRO;responsable_formateur;10;Pont-Sainte-Marie;9 RUE ROBERT KELLER 10150 PONT-SAINTE-MARIE;
0100948B;19100687300043;CAMPUS TERRES DE L AUBE;CFAA DE L'AUBE CHARLES BALTET;responsable_formateur;10;Saint-Pouange;RTE DE VIELAINES 10120 SAINT-POUANGE;
0101035W;39301114300020;ASSOC FORMATION PROFESSION PHARMACIE;AFPP;inconnue;10;Troyes;10 Q RUE DES BAS TREVOIS 10000 TROYES;
0101050M;77566202600472;ASS OUVRIERE COMPAGNON DEVOIR TOUR FRANC;AOCDTF;responsable_formateur;10;Troyes;9 RUE MARIE CURIE 10000 TROYES;
0101060Y;19101060200032;UNIVERSITE DE TECHNOLOGIE DE TROYES;UTT;responsable_formateur;10;Troyes;12 RUE MARIE CURIE 10000 TROYES;
0101145R;30540504500249;AFTRAL;AFTRAL;responsable_formateur;60;Grandvilliers;ZONE INDUSTRIELLE 10440 TORVILLIERS;
0110023R;19110023900018;LYCEE POLYVALENT LOUISE MICHEL;;formateur;11;Narbonne;2 RUE JEAN MOULIN 11100 NARBONNE;
0110045P;51493040300019;OGEC SAINT LOUIS;OGEC SAINT LOUIS;formateur;11;Carcassonne;77 RUE AIME RAMOND 11000 CARCASSONNE;
0110678C;77580456000016;ENSEIGNEMENT PROMOTION AGRICOLE GENERAL;EPAG;responsable_formateur;11;Limoux;26 AV ANDRE CHENIER 11300 LIMOUX;
0110856W;19110677200020;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLE DE CASTELNAUDARY;CFPPA;responsable_formateur;11;Castelnaudary;935 AV DU DR RENE LAENNEC 11400 CASTELNAUDARY;
0110884B;51472700700023;BTP CFA OCCITANIE;BTP CFA OC;responsable_formateur;11;Lézignan-Corbières;CHE DE SAINT ESTEVE 11200 LEZIGNAN-CORBIERES;
0111008L;34247135600036;ASSOCIATION FORMASPORT;AFSUD;formateur;11;Narbonne;4 AV PIERRE DE COUBERTIN 11100 NARBONNE;
0111083T;30540504501692;AFTRAL;AFTRAL;responsable_formateur;11;Narbonne;23 AV DES ETANGS 11100 NARBONNE;
0120012Y;19120012000019;LYCEE GENERAL ET TECHNOLOGIQUE JEAN VIGO;;formateur;12;Millau;BD DU PUITS DE CALES 12100 MILLAU;
0120031U;19120031000016;LYCEE GENERAL ET TECHNOLOGIQUE RAYMOND SAVIGNAC;LGT;formateur;12;Villefranche-de-Rouergue;RUE AGNES SAVIGNAC 12200 VILLEFRANCHE-DE-ROUERGUE;
0120061B;77676494600013;OGEC ENSEMBLE ST JOSEPH;;formateur;12;Villefranche-de-Rouergue;24 AV ETIENNE SOULIE 12200 VILLEFRANCHE-DE-ROUERGUE;
0120887Z;13002793100091;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION OCCITANIE;CFA DE L'AVEYRON;responsable_formateur;12;Onet-le-Château;341 RUE DES METIERS 12850 ONET-LE-CHATEAU;
0121178R;19121178800010;ETAB  REGIONAL D'ENSEIGNEMENT ADAPTE;EREA;formateur;12;Villefranche-de-Rouergue;LAURIERE 12200 VILLEFRANCHE-DE-ROUERGUE;
0121291N;77673414700015;LYCEE PRIVE DE RIGNAC AMENAGEMENT PAYSAGER ELEVAGE BOVIN EQUIN SERVICES AUX PERS;;formateur;12;Rignac;AV DE VILLEFRANCHE 12390 RIGNAC;
0121336M;78818552800023;MAISON FAMILIALE RURALE;;responsable_formateur;12;Naucelle;7 RUE DE VILLELONGUE 12800 NAUCELLE;
0121358L;19120621800015;LYCEE GENERAL ET TECHNOLOGIQUE AGRICOLE;EPLA;formateur;12;Villefranche-de-Rouergue;COTE DU MAS DE BONNET 12200 VILLEFRANCHE-DE-ROUERGUE;
0121423G;39900405000049;OGEC LOUIS QUERBES-CHARLES CARNUS;OGEC;formateur;12;Rodez;AV SAINT PIERRE 12000 RODEZ;
0121479T;19120938600017;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE SAINT-AFFRIQUE;LYCEE PROFESSIONNEL AGRICOLE DE SAINT AFFRIQUE;responsable_formateur;12;Saint-Affrique;RTE DE BOURNAC 12400 SAINT-AFFRIQUE;
0121523R;30540504502518;AFTRAL;AFTRAL;responsable_formateur;12;Sainte-Radegonde;ALL L'AVEYRON 12850 SAINTE-RADEGONDE;
0130048G;19130048200012;LYCEE POLYVALENT ST EXUPERY;LYP;formateur;13;Marseille;529 CHE MADRAGUE VILLE 13015 MARSEILLE 15;
0130221V;19133346700014;INSTITUT D'ETUDES POLITIQUES D'AIX-EN-PROVENCE;IEP;inconnue;13;Aix-en-Provence;25 RUE GASTON DE SAPORTA 13100 AIX-EN-PROVENCE;
0130239P;51400512300013;GROUPE KEDGE BUSINESS SCHOOL;KEDGE BS;responsable_formateur;13;Marseille;LUMINY 13009 MARSEILLE 9;
0131403E;77555959400012;OGEC ST VINCENT DE PAUL;;formateur;13;Marseille;30 RUE STANISLAS TORRENTS 13006 MARSEILLE 6;
0131445A;78291199400021;PROVENCE FORMATION;LEPP CHARLOTTE GRAWITZ;formateur;13;Marseille;8 BD MADELEINE REMUSAT 13013 MARSEILLE 13;
0131484T;78291199400096;PROVENCE FORMATION;LYCEE PROFESS BRISE LAMES;formateur;13;Martigues;RTE DE LA VIERGE 13500 MARTIGUES;
0131772F;78285946600032;CFA DU BATIMENT PROVENCE ALPES COTE D'AZUR;BTP-CFA MARSEILLE;responsable_formateur;13;Marseille;IMP DE LA MONTRE 13011 MARSEILLE 11;
0131775J;78281271300017;CENTRE FORMAT BOURSE TRAVAIL;;responsable_formateur;13;Marseille;15 RUE DES CONVALESCENTS 13001 MARSEILLE 1;
0131779N;45391811200013;INSTITUT DE FORMATION DES METIERS DE LA PHARMACIE;IFMP;responsable_formateur;13;Marseille;30 RUE BENEDIT 13004 MARSEILLE 4;
0131782S;78291196000055;GESTION CTRE FORMA APPR INDUS PROVENCE;;responsable_formateur;13;Istres;8 CHE DE CAPEAU 13800 ISTRES;
0131784U;20005480700017;METROPOLE D'AIX-MARSEILLE-PROVENCE;AMP;responsable_formateur;13;Marseille;58 BD CHARLES LIVON 13007 MARSEILLE 7;
0132149R;33500144200011;ASSOC MAISON FAMIL RURALE EDUCA ORIENTAT;;responsable_formateur;13;Eyragues;BEAUCHAMP 13630 EYRAGUES;
0132193N;78291199400054;PROVENCE FORMATION;LEPP EDMOND ROSTAND;formateur;13;Marseille;114 RUE EDMOND ROSTAND 13006 MARSEILLE 6;
0132278F;33187461000016;MAISON FAMILIALE RURALE;;responsable_formateur;13;Barbentane;LA MONTAGNETTE 13570 BARBENTANE;
0132469N;78285946600024;CFA DU BATIMENT PROVENCE ALPES COTE D'AZUR;BTP-CFA AIX LES MILLES;responsable_formateur;13;Aix-en-Provence;205 RUE ALBERT EINSTEIN 13290 AIX-EN-PROVENCE;
0132823Y;30394026600016;MAISON FAMILIALE RURALE;;responsable_formateur;13;Puyloubier;213 AV HENRI FROIDFOND 13114 PUYLOUBIER;
0132927L;13001552200019;GROUPEMENT DE COOPERATION SANITAIRE DU PAYS D'AIX;GCSPA;formateur;13;Aix-en-Provence;109 AV DU PETIT BARTHELEMY 13090 AIX-EN-PROVENCE;
0133004V;30540504500041;AFTRAL;AFTRAL;formateur;13;Marseille;368 BD HENRI BARNIER 13016 MARSEILLE 16;
0133424B;78291199400088;PROVENCE FORMATION;LYCEE TECHNOLOGIQUE CAUCADIS;formateur;13;Vitrolles;BD ALFRED CASILE 13127 VITROLLES;
0133425C;78291199400062;PROVENCE FORMATION;LYCEE TECHNOLOGIQUE CELONY;formateur;13;Aix-en-Provence;4 B AV MAL DE LATTRE DE TASSIGNY 13090 AIX-EN-PROVENCE;
0133474F;78291199400047;PROVENCE FORMATION;LYCEE TECHNOLOGIQUE MARIE GASQUET;formateur;13;Marseille;38 RUE DES ELECTRICIENS 13012 MARSEILLE 12;
