uai;siret;raison_sociale;enseigne;nature;departement;commune;adresse;prepa_apprentissage
0640254D;19640220000063;ETABLISSEMENT PUBLIC LOCAL D ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLE DE PAU MONTARDON;CENTRE FORMATION APPRENTIS AGRICOLES;formateur;64;Oloron-Sainte-Marie;1051 RTE DU GAVE D ASPE 64400 OLORON-SAINTE-MARIE;
0640124M;78231692100017;OGEC ST FRANCOIS;;formateur;64;Mauléon-Licharre;1 AV DE BELZUNCE 64130 MAULEON-LICHARRE;
0062239B;77567227210446;CROIX ROUGE FRANCAISE;IRFSS NICE;formateur;06;Nice;17 AV CAP DE CROIX 06100 NICE;
0340871M;77598273900028;OGEC LA TRINITE;OGEC;formateur;34;Béziers;6 AV JEAN MOULIN 34500 BEZIERS;
0932806V;50970861600032;PLUVALENCE;;responsable_formateur;93;Montreuil;14 RUE DE LA BEAUNE 93100 MONTREUIL;
0171265H;38085761500013;OGEC AGRICOLE PRIVE ST ANTOINE;;responsable_formateur;17;Bois;17240 BOIS;
0642056M;49218219100022;ACADEMIE BASQUE DU SPORT;;responsable_formateur;64;Biarritz;RUE CINO DEL DUCA 64200 BIARRITZ;
0660077A;77618818700020;ORGANISM GESTION ENSEIGNEMENT CATHOLIQUE;OGEC;formateur;66;Perpignan;68 AV VICTOR DALBIEZ 66000 PERPIGNAN;
0333518V;89163157400011;SKILLS MAJOR;SKILLS MAJOR;responsable_formateur;33;Pessac;4 RUE THEODORE BOTREL 33600 PESSAC;
0341521U;32001710600040;ASSOCIATION SAINT JOSEPH PIERRE ROUGE;;formateur;34;Montferrier-sur-Lez;600 AV DU CAMPUS AGROPOLIS 34980 MONTFERRIER-SUR-LEZ;
0142332J;26140092300015;CENTRE HOSPITALIER AUNAY-BAYEUX;;formateur;14;Bayeux;13 RUE DE NESMOND 14400 BAYEUX;
0261372A;13002608100047;UNIVERSITE GRENOBLE ALPES;DEPARTEMENT SCIENCES DROME ARDECHE;formateur;26;Valence;23 CHE DES HUGUENOTS 26000 VALENCE;
0251035P;49198891100013;OGEC STE FAMILLE STE URSULE;;formateur;25;Besançon;33 RUE DU GENERAL BRULARD 25000 BESANCON;
0391001B;77836867000015;OGEC CENTRE SCOLAIRE PRIVE JEANNE D ARC;;formateur;39;Champagnole;10 RUE DU SAUGET 39300 CHAMPAGNOLE;
0240089S;78170232900025;OGEC INSTITUTION ST JOSEPH;LEP PRIVE ST VINCENT DE PAUL;formateur;24;Périgueux;23 AV GEORGES POMPIDOU 24000 PERIGUEUX;
0382906C;13002608100146;UNIVERSITE GRENOBLE ALPES;UFR SCIENCES DE L'HOMME ET DE LA SOCIETE;formateur;38;Saint-Martin-d'Hères;1251 AV CENTRALE 38400 SAINT MARTIN D'HERES;
0340991T;77605691300010;ORGANISM GESTION ENSEIGNEMENT CATHOLIQUE;OGEC;formateur;34;Montpellier;18 RUE DE LA GARENNE 34090 MONTPELLIER;
0783697V;88930797100057;ECOLE SUPERIEURE DE VENTE ET DE MANAGEMENT - CCI PARIS ILE-DE-FRANCE EDUCATION;;formateur;78;Montigny-le-Bretonneux;7 AV DES TROIS PEUPLES 78180 MONTIGNY-LE-BRETONNEUX;
0252021L;90334045300013;ALTERNANCE FRANCHE COMTE;GROUPE ALTERNANCE BESANCON;responsable_formateur;25;Besançon;28 RUE DES GRANGES 25000 BESANCON;
9741688S;83112983800031;ASSOCIATION POUR LA PROFESSIONNALISATION DES OUVRIERS DE L'OCEAN INDIEN ET DE LA REUNION;;responsable_formateur;974;Le Tampon;238 RUE JULES BERTAUT 97430 LE TAMPON;
0755900F;89003049700048;GOBELINS-CCI PARIS ILE DE FRANCE;;formateur;75;Paris;247 AV GAMBETTA 75020 PARIS 20;
0141275K;19141275800010;LPO LYCEE DES METIERS PAUL CORNU;LPO LYC METIERS;formateur;14;Lisieux;3 RUE PAUL CORNU 14100 LISIEUX;
0212253K;85331736000016;ECOLE SUPERIEURE APPLIQUEE AU DESIGN ET AU DIGITAL;ESADD;formateur;21;Dijon;4 BD DR JEAN VEILLET 21000 DIJON;
0920166F;19920166600013;LYCEE PROFESSIONNEL VASSILY KANDINSKY;;inconnue;92;Neuilly-sur-Seine;96 BD BINEAU 92200 NEUILLY-SUR-SEINE;
0951721E;88930797100073;ECOLE SUPERIEURE DE VENTE ET DE MANAGEMENT - CCI PARIS ILE-DE-FRANCE EDUCATION;;formateur;95;Enghien-les-Bains;14 PL CARDINAL MERCIER 95880 ENGHIEN-LES-BAINS;
0952187L;13001727000591;CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PARIS ILE DE FRANCE;INHAC;inconnue;95;Saint-Gratien;17 BD PASTEUR 95210 SAINT-GRATIEN;
0502010N;82908855800020;ISPN CHERBOURG;ISPN CHERBOURG;responsable_formateur;50;Cherbourg-en-Cotentin;986 RUE JEAN BOUIN 50110 CHERBOURG-EN-COTENTIN;
0142392Z;30937262100057;LIGUE DE NORMANDIE DE TENNIS;;formateur;14;Honfleur;BD CHARLES 5 14600 HONFLEUR;
0783807P;88930797100032;ECOLE SUPERIEURE DE VENTE ET DE MANAGEMENT - CCI PARIS ILE-DE-FRANCE EDUCATION;;formateur;78;Aubergenville;27 RUE DU CHANTIER D HERUBE 78410 AUBERGENVILLE;
0952262T;88930797100081;ECOLE SUPERIEURE DE VENTE ET DE MANAGEMENT - CCI PARIS ILE-DE-FRANCE EDUCATION;;formateur;95;Pontoise;8 RUE PIERRE DE COUBERTIN 95300 PONTOISE;
0782058N;13001727000575;CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PARIS ILE DE FRANCE;ESSYM;responsable_formateur;78;Rambouillet;44 RUE RAYMOND PATENOTRE 78120 RAMBOUILLET;
0290159R;77755663000013;OGEC SAINT SEBASTIEN SAINT JOSEPH;OGEC;formateur;29;Landerneau;4 RUE HERVE DE GUEBRIANT 29800 LANDERNEAU;
